Unnamed: 0,CustomerID,Gender,Location,Tenure_Months,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,GST,Date,Offline_Spend,Online_Spend,Month,Coupon_Code,Discount_pct,Payment_Status,Delivery_Days,Customer_Rating,Return_Status,Customer_City,Discount_Percent,Order_Priority,Support_Calls,Membership
0,17850.0,M,Chicago,12.0,16679.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,UNKNOWN,10.0,pending,1,1,Returned,Unknown,25,High,3,Gold
1,17850.0,M,Chicago,12.0,16680.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,NONE,10.0,unknown,3,3,Unknown,Kochi,25,Medium,3,Gold
2,17850.0,M,Chicago,12.0,16696.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Not Used,0.1,1/1/2019,4500.0,2424.5,1,NEWUSER,10.0,unknown,5,3,Returned,Mumbai,25,Medium,0,Gold
3,17850.0,M,Chicago,12.0,16699.0,2019-01-01,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,81.5,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,paid,1,3,Returned,Chennai,25,Low,3,Gold
4,17850.0,M,Chicago,12.0,16700.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NO COUPON,10.0,pending,3,4,Returned,Chennai,15,Low,2,Platinum
5,17850.0,M,Chicago,12.0,16701.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NONE,10.0,failed,2,2,Unknown,Delhi,25,Low,2,Gold
6,17850.0,M,Chicago,12.0,16702.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NONE,10.0,unknown,3,5,Not Returned,Chennai,25,High,3,Platinum
7,17850.0,M,Chicago,12.0,16703.0,2019-01-01,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2.0,81.5,6.5,Not Used,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,pending,7,4,Returned,Mumbai,10,Low,2,Platinum
8,17850.0,M,Chicago,12.0,16704.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,256.88,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,SAVE10,10.0,unknown,3,4,Returned,Delhi,5,High,0,Platinum
9,17850.0,M,Chicago,12.0,16710.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,28.78,Clicked,0.1,1/1/2019,4500.0,2424.5,1,UNKNOWN,10.0,paid,3,3,Returned,Mumbai,5,Medium,1,Gold
10,17850.0,M,Chicago,12.0,16713.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,unknown,2,3,NONE,Chennai,25,Medium,1,Gold
11,17850.0,M,Chicago,12.0,16719.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/1/2019,4500.0,2424.5,1,NEWUSER,10.0,pending,2,4,NONE,Delhi,25,High,0,Gold
12,17850.0,M,Chicago,12.0,16720.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,NO COUPON,10.0,paid,7,3,Returned,Chennai,25,Medium,3,Gold
13,17850.0,M,Chicago,12.0,16720.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NONE,10.0,paid,2,3,Returned,Mumbai,5,High,1,Gold
14,17850.0,M,Chicago,12.0,16721.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,pending,3,3,Returned,Chennai,25,High,1,Silver
15,17850.0,M,Chicago,12.0,16722.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,UNKNOWN,10.0,paid,7,3,NONE,Chennai,20,Low,3,Silver
16,17850.0,M,Chicago,12.0,16722.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,paid,2,2,Returned,Delhi,15,High,3,Gold
17,17850.0,M,Chicago,12.0,16723.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,paid,3,3,Returned,Delhi,10,High,0,Silver
18,17850.0,M,Chicago,12.0,16723.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/1/2019,4500.0,2424.5,1,UNKNOWN,10.0,unknown,3,4,Unknown,Delhi,25,High,3,Gold
19,17850.0,M,Chicago,12.0,16724.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NEWUSER,10.0,failed,3,5,Unknown,Unknown,5,High,3,Gold
20,17850.0,M,Chicago,12.0,16725.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NEWUSER,10.0,paid,5,4,Unknown,Unknown,25,High,0,Platinum
21,17850.0,M,Chicago,12.0,16727.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,SAVE10,10.0,unknown,3,3,Not Returned,Kochi,10,Medium,3,Gold
